nr_crt,sucursala,departament,denumire_persoana_juridica,adresa_imobil,constructie_mp,teren_mp,tip_contract,modalitate_atribuire,data_inceput,data_incetare,pret_ron,pret_eur
166,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC SB GALLERY SRL,STR.ION CAMPINEANU NR.3A,52.19,,Închiriere și prestări servicii,Licitație publică,24-Nov-2022,23-Nov-2027,486.66,510.80
167,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC SB GALLERY SRL,STR.ION CAMPINEANU NR.3A,21.52,,Închiriere și prestări servicii,Licitație publică,10-Jul-2024,9-Jul-2029,204.18,466.90
168,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC SB GALLERY SRL,STR.ION CAMPINEANU NR.3A,60.00,,Închiriere,Licitație publică,15-Apr-2025,14-Apr-2027,,480.00
169,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC ZAPPA TRADING,STR.ION CAMPINEANU NR.3A,12.83,,Închiriere și prestări servicii,Licitație publică,10-Nov-2022,9-Nov-2027,119.83,57.60
170,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC SB GALLERY SRL,STR.ION CAMPINEANU NR.3A,11.08,,Închiriere și prestări servicii,Licitație publică,3-Apr-2026,2-Apr-2027,124.74,84.23
171,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC PETITS POINTS DESIGN SRL,STR.ION CAMPINEANU NR.3A,26.99,,Închiriere și prestări servicii,Licitație publică,24-Feb-2026,23-Feb-2027,255.11,551.19
172,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC BUSINESS HOTELS INVESTMENT SA,Bd. Expozitiei nr. 28-30,633.00,,Închiriere,Licitație publică,1-Nov-2023,31-Oct-2028,,6330.00
173,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC BUSINESS HOTELS INVESTMENT SA,Bd. Expozitiei nr. 28-30,231.00,,Închiriere,Licitație publică,24-Nov-2022,23-Nov-2027,,2541.00
174,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC BUSINESS HOTELS INVESTMENT SA,Bd. Expozitiei nr. 28-30,596.00,,Închiriere,Licitație publică,24-Nov-2022,23-Nov-2027,,7152.00
175,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,MINISTERUL FINANTELOR,"Str.Ion CAMPINEANU,NR.16",1473.50,,Închiriere și prestări servicii,Atribuire directă,16-May-2022,31-Dec-2026,95216.14,
176,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,CONSILIUL NAȚIONAL PENTRU COMBATEREA DISCRIMINARII,P-TA V.MARACINEANU 1-3,1255.87,,Închiriere și prestări servicii,Atribuire directă,16-Dec-2025,31-Jun-2026,60093.57,
177,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,FEDERAȚIA -PUBLISIND,P-TA V.MARACINEANU 1-3,108.15,,Închiriere și prestări servicii,Atribuire directă,25-Oct-2024,21-Jan-2027,3064.30,511.55
178,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AUTORITATEA NATIONALA PENTRU CALIFICARI,P-TA V.MARACINEANU 1-3,1097.57,,Închiriere și prestări servicii,Atribuire directă,31-Jul-2020,31-Dec-2026,33621.80,
179,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,FUNDATIA ECOLOGICA GREEN,P-TA V.MARACINEANU 1-3,162.61,,Închiriere și prestări servicii,Licitație publică,24-Mar-2022,23-Mar-2027,6410.79,816.40
180,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,FEDERAȚIA SINDICATELOR DIN TRANSPORTURI TRANSLOC SI SERVICII PUBLICE ATU ROMANIA,P-TA V.MARACINEANU 1-3,103.89,,Închiriere și prestări servicii,Atribuire directă,14-Apr-2022,13-Apr-2027,1998.48,491.40
181,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,CONFEDERATIA SINDICATELOR DEMOCRATE DIN ROMANIA,P-TA V.MARACINEANU 1-3,379.54,,Închiriere și prestări servicii,Atribuire directă,13-Feb-2025,12-Feb-2030,9510.68,1795.22
182,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,CONFEDERATIA SINDICATELOR DEMOCRATE DIN ROMANIA,P-TA V.MARACINEANU 1-3,197.73,,Închiriere și prestări servicii,Atribuire directă,13-Feb-2025,12-Feb-2030,3252.20,935.26
183,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,A.N.A.F.-DIRECȚIA GENERALĂ A FINANȚELOR PUBLICE BUCUREȘTI,P-TA V.MARACINEANU 1-3,536.03,,Închiriere și prestări servicii,Atribuire directă,13-Apr-2022,21-Mar-2027,26417.73,
184,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,CONSILIUL NAȚIONAL AL INTREPRINDERILOR PRIVATE MICI SI MIJLOCII DIN ROMÂNIA,P-TA V.MARACINEANU 1-3,441.09,,Închiriere și prestări servicii,Licitație publică,26-Aug-2021,25-Aug-2026,5790.52,2384.83
185,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,ASOCIATIA PRIETENII SOCIAL DEMOCRATIEI ROMANE,P-TA V.MARACINEANU 1-3,28.87,,Închiriere și prestări servicii,Licitație publică,15-Mar-2022,14-Mar-2027,740.15,115.96
186,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,DIRECTIA NATIONALA ANTICORUPTIE,P-TA V.MARACINEANU 1-3,1895.16,,Închiriere și prestări servicii,Atribuire directă,13-Dec-2023,29-Oct-2030,79662.77,
187,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,ASOCIATIA COMERCIANTILOR DE FURAJE SI PUI DE O ZI,P-TA V.MARACINEANU 1-3,47.73,,Închiriere și prestări servicii,Licitație publică,13-Jan-2022,12-Jan-2027,1342.27,239.65
188,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AUTORITATEA DE INVESTIGATII SI ANALIZA PTR. SIGURANTA AVIATIEI CIVILE,P-TA V.MARACINEANU 1-3,901.99,,Închiriere și prestări servicii,Atribuire directă,13-Aug-2024,30-Aug-2027,35608.38,4266.41
189,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC B.R.L. INTERMED SERVICES SRL,P-TA V.MARACINEANU 1-3,70.82,,Închiriere și prestări servicii,Licitație publică,20-Aug-2021,19-Aug-2026,1989.52,344.61
190,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,CABINET INDIVIDUAL DE PSIHOLOGIE NEAGOE ALINA,P-TA V.MARACINEANU 1-3,21.61,,Închiriere și prestări servicii,Licitație publică/Folosinta spatiu fara titlu,12-May-2021,11 Mai 2026 In procedura de scoatere la licitatie,551.52,93.46
191,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,DIGI ROMANIA S.A.,P-TA V.MARACINEANU 1-3,15.00,,Închiriere și prestări servicii,Licitație publică,10-Jun-2021,9-Jun-2026,233.42,459.00
192,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AUTORITATEA NATIONALA PENTRU PROTECTIA DREPTURILOR COPILULUI SI ADOPTIE,P-TA V.MARACINEANU 1-3,108.39,,Închiriere și prestări servicii,Atribuire directă,2-Aug-2022,4-Jul-2027,4118.26,
193,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC INOTRANS SYSTEM SRL,P-TA V.MARACINEANU 1-3,86.57,,Închiriere și prestări servicii,Licitație publică,8-Dec-2021,21-Dec-2026,2219.42,379.15
194,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,UNIUNEA SARBILOR DIN ROMANIA,P-TA V.MARACINEANU 1-3,39.54,,Închiriere și prestări servicii,Licitație publică,9-Jun-2022,8-Jun-2027,1494.49,198.51
195,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,FUNDATIA ECOLOGICA GREEN - FILIALA BUCURESTI,P-TA V.MARACINEANU 1-3,232.22,,Închiriere și prestări servicii,Licitație publică,5-Aug-2022,4-Aug-2027,6582.08,816.09
196,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC QN NETWORK CONCEPT SRL,P-TA V.MARACINEANU 1-3,73.84,,Închiriere și prestări servicii,Licitație publică,22-Sep-2022,21-Sep-2027,2092.38,259.49
197,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC RONIN CAFFE SRL,P-TA V.MARACINEANU 1-3,2.00,,Închiriere și prestări servicii,Licitație publică,5-Dec-2022,4-Dec-2027,36.02,70.00
198,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,MINISTERUL EDUCATIEI,P-TA V.MARACINEANU 1-3,76.55,,Închiriere și prestări servicii,Atribuire directă,17-May-2024,11-Apr-2027,3667.61,
199,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,ASOCIATIA PENSIONARILOR BUCURESTI,P-TA V.MARACINEANU 1-3,25.55,,Închiriere și prestări servicii,Licitație publică,24-Nov-2021,7-Feb-2027,938.12,96.73
200,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,DRGC MANAGEMENT SRL,P-TA V.MARACINEANU 1-3,18.77,,Închiriere și prestări servicii,Licitație publică,5-Sep-2023,4-Sep-2028,720.53,166.75
201,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC ORANGE ROMANIA SA,P-TA V.MARACINEANU 1-3,15.00,,Închiriere și prestări servicii,Licitație publică,7-Nov-2023,29-Nov-2029,232.74,525.00
202,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,VANTAGE TOWERS SRL,P-TA V.MARACINEANU 1-3,35.00,,Închiriere și prestări servicii,Licitație publică,21-Feb-2024,25-Feb-2029,545.55,1260.00
203,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC VVV LOGISTICS AUTOMOBIL SRL,P-TA V.MARACINEANU 1-3,33.04,,Închiriere și prestări servicii,Licitație publică,1-Mar-2024,28-Mar-2029,926.82,187.57
204,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,COMPANIA MUNICIPALA ILUMINAT PUBLIC BUCURESTI,P-TA V.MARACINEANU 1-3,19.67,,Închiriere și prestări servicii,Licitație publică,4-May-2023,2-Jul-2028,851.72,227.85
205,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,CABINET DE AVOCAT RAZVAN TANASE,P-TA V.MARACINEANU 1-3,28.32,,Închiriere și prestări servicii,Licitație publică,28-Jun-2024,7-Jul-2029,870.86,160.82
206,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,ALL ONLINE TECH SRL,P-TA V.MARACINEANU 1-3,41.60,,Închiriere și prestări servicii,Licitație publică,17-Oct-2024,16-Oct-2029,1179.82,179.93
207,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC RONIN CAFFE SRL,P-TA V.MARACINEANU 1-3,1.00,,Închiriere și prestări servicii,Licitație publică,15 - Nov -2024,17-Nov-2026,30.93,50.00
208,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC IKIGAI MOON SRL,P-TA V.MARACINEANU 1-3,42.43,,Închiriere și prestări servicii,Licitație publică,7-May-2025,6-May-2027,1300.55,263.80
209,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC IKIGAI MOON SRL,P-TA V.MARACINEANU 1-3,51.71,,Închiriere și prestări servicii,Licitație publică,4-Mar-2026,3-Mar-2027,1201.02,467.42
210,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,INSTITUTUL ROMAN PENTRU DREPTURILE OMULUI,P-TA V.MARACINEANU 1-4,289.21,,Închiriere și prestări servicii,Atribuire directă,4-Jul-2025,13-Aug-2026,10490.17,
211,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC UNIVET CONSULT SRL,P-TA V.MARACINEANU 1-4,125.65,,Închiriere și prestări servicii,Licitație publică,03 09.2025,2-Sep-2030,1657.66,1019.03
212,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,"MINISTERUL MUNCII,FAMILIEI,TINERETULUI SI SOLIDARITATII SOCIALE",P-TA V.MARACINEANU 1-4,902.48,,Închiriere și prestări servicii,Atribuire directă,29-Jan-2026,15-Feb-2027,55401.04,
213,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SGG-DEPARTAMENTUL PENTRU RELAȚII INTERETNICE,Paris 65 A,570.70,,Închiriere și prestări servicii,Atribuire directă,23-Apr-2026,31-Dec-2026,42452.72,
214,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,OFICIUL PENTRU LICENTA INDUSTRIALA,Paris 65 A,254.51,,Închiriere și prestări servicii,Atribuire directă,5-Mar-2025,31-Dec-2026,18309.09,
215,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AUTORITATEA NAŢIONALĂ DE SUPRAVEGHERE A PRELUCRĂRII DATELOR CU CARACTER PERSONAL,BD. GH.MAGHERU 28-30,1414.00,,Închiriere și prestări servicii,Atribuire directă,6-Mar-2017,31-Dec-2026,40630.14,
216,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,UNIUNEA ZIARIȘTILOR PROFESIONIȘTI DIN ROMÂNIA,BD. GH.MAGHERU 28-30,364.76,,Închiriere și prestări servicii,Atribuire directă,25-Nov-2025,10-Aug-2026,9269.76,1918.64
217,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,ASOCIAŢIA ROMÂNĂ PENTRU TRANSPARENŢĂ,BD. GH.MAGHERU 28-30,155.65,,Prestări servicii,Atribuire directă,19-Mar-2018,18-Dec-2033,3850.74,
218,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,BOTEZ LUCIAN,BD. GH.MAGHERU 28-30,46.52,,Închiriere și prestări servicii,Licitație publică,4-Mar-2026,3-Mar-2027,1289.22,253.50
219,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,CABINET AVOCAT GRIGORIE- STEFANIA -LAVINIA,BD. GH.MAGHERU 28-30,31.49,,Închiriere și prestări servicii,Licitație publică,28-Mar-2023,27-Mar-2028,837.71,147.88
220,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,RAMATY SERV,BD. GH.MAGHERU 28-30,16.05,,Închiriere și prestări servicii,Licitație publică,7-May-2025,6-May-2027,534.68,73.58
221,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,OFICIUL PENTRU LICENTA INDUSTRIALA,BD. GH.MAGHERU 28-30,189.72,,Închiriere și prestări servicii,Atribuire directă,4-Jul-2025,3-Jul-2026,12567.56,
222,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,US FOOD NETWORK S.R.L,BD. GH.MAGHERU 28-30,1071.22,,Închiriere și prestări servicii,Licitație publică,30-Jun-2021,30-Nov-2026,2238.85,14500.00
223,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,DIRECȚIA NAȚIONALĂ DE PROBAȚIUNE,BD. GH.MAGHERU 28-30,1252.76,,Închiriere și prestări servicii,Atribuire directă,1-Apr-2020,31-Dec-2026,53738.32,
224,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,DIRECȚIA NAȚIONALĂ DE PROBAȚIUNE,BD. GH.MAGHERU 28-30,505.80,,Închiriere și prestări servicii,Atribuire directă,29-Jan-2026,31-Dec-2026,21841.82,
225,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC CHIMEXIM IMOBILIARA SRL,BD.REGINA ELISABETA 7-9 - Teren sub constructie,,798.05,Închiriere și prestări servicii,Atribuire directă/ Folosinta spatiu fara titlu,1-Apr-2011,31.03.2019 - Litigiu,747.06,718.25
226,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C.COMEDIANTII PALILULA S.R.L.,B-DUL REGINA ELISABETA NR.3,102.91,,Închiriere și prestări servicii,Licitație publică,19-Jan-2022,18-Jan-2027,1108.70,1856.19
227,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C.COMEDIANTII PALILULA S.R.L.,B-DUL REGINA ELISABETA NR.3,126.30,,Închiriere și prestări servicii,Licitație publică,16-Dec-2024,15-Dec-2026,1132.28,6364.43
228,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AGENTIA DE REORGANIZARE JUDICIARA IPURL,B-DUL REGINA ELISABETA NR.3,29.74,,Închiriere și prestări servicii,Licitație publică,19-Jan-2022,18-Jan-2027,1281.36,166.23
229,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,PATRONATUL PRODUCATORILOR DE AGREGATE MINERALE,B-DUL REGINA ELISABETA NR.3,23.76,,Închiriere și prestări servicii,Licitație publică,3-Feb-2022,2-Feb-2027,1024.48,132.57
230,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,CURTEA DE CONTURI A ROMÂNIEI,B-DUL REGINA ELISABETA NR.3,523.56,,Închiriere și prestări servicii,Atribuire directă,24-Feb-2017,31-Dec-2026,16781.94,
231,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AGENŢIA NAŢIONALĂ DE ADMINISTRARE A BUNURILOR INDISPONIBILIZATE,B-DUL REGINA ELISABETA NR.3,1129.72,,Închiriere și prestări servicii,Atribuire directă,11-Jan-2017,31-Aug-2026,47867.48,
232,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,OFICIUL NAȚIONAL PENTRU ACHIZIȚII CENTRALIZATE,B-DUL REGINA ELISABETA NR.3,785.45,,Închiriere și prestări servicii,Atribuire directă,27-Feb-2026,31-Dec-2026,27040.72,
233,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,DEPARTAMENTUL PENTRU LUPTA ANTIFRAUDA,B-DUL REGINA ELISABETA NR.3,2010.96,,Închiriere și prestări servicii,Atribuire directă,27-Apr-2026,30-Sep-2026,94455.80,
234,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC BRIMOTAS COM SRL,B-DUL REGINA ELISABETA NR.3,47.06,,Închiriere și prestări servicii,Licitație publică,16-Sep-2022,15-Sep-2027,442.73,592.96
235,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,MUZEUL MUNICIPIULUI BUCURESTI,CALEA VICTORIEI 118,499.73,,Închiriere și prestări servicii,Atribuire directă,29-Jan-2026,15-Jan-2027,11534.97,5387.09
236,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,ORDA - OFICIUL ROMAN PENTRU DREPTURILE DE AUTOR,CALEA VICTORIEI 118,983.90,,Închiriere și prestări servicii,Atribuire directă,27-Feb-2020,31-Dec-2026,70213.23,
237,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,ORDA - OFICIUL ROMAN PENTRU DREPTURILE DE AUTOR,CALEA VICTORIEI 118,1.00,,Închiriere,Licitație publică,20-May-2022,31-Dec-2026,,21.00
238,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,DEP.ROM. DE PRETUTINDENI (fost INSTITUTUL EUDOXIU HURMUZACHI Pt.ROMANII DE PRET.),CALEA VICTORIEI 118,491.67,,Închiriere și prestări servicii,Atribuire directă,30-Apr-2026,31-Dec-2026,38459.92,
239,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,IRSOP MARKET RESEARCH & CONSULTING SRL,STR.CRISTIAN POPISTEANU 2-4 - Teren,,82.00,Închiriere,Atribuire directă/ Folosinta spatiu fara titlu,18-Apr-2024,17.04.2025 - Litigiu,,338.66
240,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SECRETARIATUL GENERAL AL GUVERNULUI-DEP.PENTRU RELATIA CU PARLAMENTUL,BD.PRIMAVERII NR.22,522.55,141.00,Închiriere și prestări servicii,Atribuire directă,23-Apr-2026,31-Dec-2026,48356.62,
241,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,OFICIUL NAȚIONAL DE PREVENIRE ȘI COMBATERE A SPĂLĂRII BANILOR - ARHIVĂ,CALEA VICTORIEI Nr. 91-93,278.71,,Închiriere,Atribuire directă,5-Sep-2018,30-Sep-2026,6985.93,
242,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,CONFEDERAŢIA SINDICALĂ NAŢIONALĂ MERIDIAN,Str. MENDELEEV 36-38,296.06,,Închiriere și prestări servicii,Atribuire directă,31-Jan-2019,30-Nov-2028,5878.94,1406.29
243,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. CONVERSMIN S.A.,Str. MENDELEEV 36-38,375.91,,Închiriere și prestări servicii,Licitație publică/Folosinta spatiu fara titlu/ Litigiu,22-Feb-2019,31 Oct 2023,11223.37,2631.37
244,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC VANTAGE TOWERS SRL,Str. MENDELEEV 36-38,50.00,,Închiriere și prestări servicii,Licitație publică,24-Jun-2022,30-Jun-2027,439.77,1550.00
245,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,DIGI ROMANIA S.A.,Str. MENDELEEV 36-38,15.00,,Închiriere și prestări servicii,Licitație publică,10-Jun-2021,14-Jun-2026,138.81,459.00
246,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,MINISTERUL INVESTITIILOR SI PROIECTELOR EUROPENE,Str. MENDELEEV 36-38,711.19,,Închiriere și prestări servicii,Atribuire directă,13-Sep-2023,31-Dec-2026,44088.97,
247,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,MINISTERUL INVESTITIILOR SI PROIECTELOR EUROPENE,Str. MENDELEEV 36-38,2369.37,,Închiriere și prestări servicii,Atribuire directă,28-Jun-2019,31-Dec-2026,154204.68,
248,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,MINISTERUL INVESTITIILOR SI PROIECTELOR EUROPENE,Str. MENDELEEV 34,2108.89,,Închiriere și prestări servicii,Atribuire directă,22-May-2017,31-Dec-2026,152958.59,
249,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,ORANGE ROMANIA S.A.,STR. MENDELEEV 34,1.00,,Închiriere și prestări servicii,Licitație publică,6-Jun-2023,5-Jun-2028,11.81,45.00
250,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,ASOCIATIA PRESEI SPORTIVE DIN ROMANIA,STR. VASILE CONTA NR.16,47.49,,Închiriere,Atribuire directă,25-Mar-2022,24-Mar-2029,,79.31
251,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AGENTIA NATIONALA PENTRU SPORT,STR. VASILE CONTA NR.16,585.95,,Închiriere,Atribuire directă,5-Jan-2023,31-Dec-2026,1212.92,
252,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,"AUTORITATEA NATIONALA DE REGLEMENTARE IN DOMENIUL MINIER, PETROLIER SI AL STOCARII GEOLOGICE A DIOXIDULUI DE CARBON",DACIA 59,2596.90,,Închiriere și prestări servicii,Atribuire directă,19-Jan-2023,31-Dec-2026,176231.37,
253,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,INSTITUTUL REVOLUTIEI ROMANE - DECEMBRIE 1989,STR. ROSETTI NR. 33,1301.96,,Închiriere,Atribuire directă,28-Dec-2004,Pe durata desf.activităţii,20870.31,
254,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,UNIUNEA ELENA,STR. V. ALECSANDRI 8 - Teren aferent constructiilor vandute,,925.50,Închiriere,Atribuire directă,16-Oct-2006,Pe durata existenţei constr.,,46.28
255,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,INSTITUTIA PREFECTULUI- MUNICIPIUL BUCURESTI,STR.BATISTEI NR.13,1536.08,,Închiriere și prestări servicii,Atribuire directă,6-Jul-2022,16-Nov-2027,191693.20,
